F-301	forward	catalog-instance heap record (_db_class/_db_index)	heap_get_visible_version	heap_get_visible_version	CONSUME	heap_get_visible_version -> catcls_get_or_value_from_record -> or_init/catcls_get_or_value_from_buffer; also locator_add_or_remove_index (repl)	catcls_get_or_value_from_record (OR_BUF parse of whole record)	OR_BUF logical parse of entire record body + replication ship	full (whole record OR_BUF-parsed)	yes (catalog class instances go through normal heap update path -> demotion possible)	EXPAND	CONSUME	CONSUME	CORRECT	src/storage/catalog_class.c:4014 catcls_delete_instance -> catcls_get_or_value_from_record (catalog_class.c:3629 or_init(buf,record->data,record->length)); one of the 5 census genuine-Expand sites	OOS-backed catalog instance delete + reindex; verify no stub leak into repl log	-	Matches ADR-0003 census (genuine raw-byte consumer)
F-302	forward	catalog-instance heap record (_db_class/_db_index)	heap_get_visible_version	heap_get_visible_version	CONSUME	heap_get_visible_version -> or_chn(old_record) + catcls_get_or_value_from_record -> or_init	catcls_get_or_value_from_record (OR_BUF parse) + or_chn	CHN read + full-record OR_BUF logical parse	full (OR_BUF parse) + fixed(CHN)	yes	EXPAND	CONSUME	CONSUME	CORRECT	src/storage/catalog_class.c:4180 catcls_update_instance -> or_chn(&old_record) + catcls_get_or_value_from_record; census genuine-Expand site	OOS-backed catalog update; verify old-record parse resolves stubs	-	Matches ADR-0003 census
F-303	forward	catalog-instance heap record (_db_class)	heap_get_visible_version	heap_get_visible_version	CONSUME	heap_get_visible_version -> or_chn(record) + catcls_get_or_value_from_record -> or_init	catcls_get_or_value_from_record (OR_BUF parse) + or_chn	CHN read + full-record OR_BUF logical parse (then rebuilt via catcls_put_or_value_into_record)	full (OR_BUF parse) + fixed(CHN)	yes	EXPAND	CONSUME	CONSUME	CORRECT	src/storage/catalog_class.c:4504 catcls_update_class_stats -> or_chn(&record) + catcls_get_or_value_from_record; census genuine-Expand site	class-stats update on OOS-backed _db_class row	-	Matches ADR-0003 census
F-304	forward	catalog-instance heap record (_db_charset/collation compat)	heap_next	heap_next	DONT	heap_next(PEEK,DONT) -> heap_attrinfo_read_dbvalues -> heap_attrvalue_read -> (VOT OOS bit) heap_attrvalue_read_oos_inline -> oos_read	heap_attrinfo_read_dbvalues (attribute layer)	per-attribute value read (charset/lang/timezone ints+strings)	variable (attr-layer resolve, per accessed attr)	unlikely (tiny compat values) but contract-safe	RESOLVE	DONT	DONT	CORRECT	src/storage/catalog_class.c:5015 catcls_get_server_compat_info; consumer heap_attrinfo_read_dbvalues (heap_file.c:10909) -> heap_attrvalue_read dispatch at heap_file.c:10479	attr-layer resolve of OOS-backed compat attrs	-	Attribute layer is OOS-aware (verified dispatch)
F-305	forward	catalog-instance heap record (_db_collation)	heap_next	heap_next	DONT	heap_next(PEEK,DONT) -> heap_attrinfo_read_dbvalues -> heap_attrvalue_read -> oos_read	heap_attrinfo_read_dbvalues (attribute layer)	per-attribute value read (coll id/name/checksum)	variable (attr-layer resolve)	unlikely (tiny) but contract-safe	RESOLVE	DONT	DONT	CORRECT	src/storage/catalog_class.c:5468 catcls_get_db_collation; consumer heap_attrinfo_read_dbvalues	attr-layer resolve	-	-
F-306	forward	catalog-instance heap record (ha apply-info)	heap_next	heap_next	DONT	heap_next(PEEK,DONT) -> heap_attrinfo_read_dbvalues -> heap_attrvalue_read -> oos_read	heap_attrinfo_read_dbvalues (attribute layer)	per-attribute datetime read	variable (attr-layer resolve)	unlikely (tiny) but contract-safe	RESOLVE	DONT	DONT	CORRECT	src/storage/catalog_class.c:5680 catcls_get_apply_info_log_record_time; consumer heap_attrinfo_read_dbvalues	attr-layer resolve	-	-
F-307	forward	class-object heap record (root class)	heap_next	heap_next	DONT	heap_next(PEEK,DONT) -> [release] class_oid used for lock+catalog_check_class_consistency; [debug only] or_class_name(&peek)	class_oid (heap_next out param); debug-only or_class_name	release: body unused (OID drives checks); debug: or_class_name reads variable-attr-0 (class name) raw via OR_VAR_OFFSET	none (release) / variable-attr-0 (debug or_class_name)	no (root class objects serialized by tf_class_to_disk, NOT the instance demotion path)	NO_BODY	DONT	DONT	CORRECT	src/storage/system_catalog.c:4719 catalog_check_consistency; or_class_name at object_representation.c:249 OR_VAR_OFFSET(record->data,0); class transform tf_class_to_disk (transform_cl.c:4546)	checkdb over catalog	-	or_class_name does a raw var-area read but class objects are not OOS-capable; if that ever changes, debug path would need review
F-308	forward	class-object heap record (root class)	heap_next	heap_next	DONT	heap_next(PEEK,DONT) -> class_oid used for repr dump; debug-only or_class_name(&peek)	class_oid; debug-only or_class_name	release: body unused; debug: or_class_name raw var-attr-0 read	none (release) / variable-attr-0 (debug)	no (class objects not OOS-demoted)	NO_BODY	DONT	DONT	CORRECT	src/storage/system_catalog.c:5031 catalog_dump; same or_class_name pattern as F-307	catalog dump diag	-	Same nuance as F-307
F-309	forward	user-class instance heap record	heap_next	heap_next	DONT	heap_next(PEEK/COPY,DONT) -> or_mvcc_get_header + heap_attrinfo_read_dbvalues(filter) + heap_attrinfo_generate_key -> heap_attrinfo_read_dbvalues -> oos_read	heap_attrinfo_generate_key / heap_attrinfo_read_dbvalues (attribute layer) + MVCC header	MVCC header read (visibility) + attr-layer key/filter value extraction	header/CHN (MVCC) + variable (attr-layer key extract)	yes (index build over user tables; key attrs can be OOS-backed)	RESOLVE	DONT	DONT	CORRECT	src/storage/btree_load.c:3731 btree_sort_get_next; heap_attrinfo_generate_key calls heap_attrinfo_read_dbvalues (heap_file.c:14078,14098)	build index whose key column is OOS-backed; verify key value resolved	-	Attr-layer path resolves OOS key values; correct and cheaper than Expand
F-310	forward	user-class instance heap record	heap_next	heap_next	DONT	heap_next(COPY,DONT) -> heap_attrinfo_read_dbvalues(filter) + heap_attrinfo_generate_key -> heap_attrinfo_read_dbvalues -> oos_read	heap_attrinfo_generate_key / heap_attrinfo_read_dbvalues (attribute layer)	attr-layer key/filter value extraction for online index build	variable (attr-layer key extract)	yes (online index over user tables)	RESOLVE	DONT	DONT	CORRECT	src/storage/btree_load.c:5379 online_index_builder; same generate_key -> read_dbvalues chain	online CREATE INDEX on OOS-backed key column	-	-
F-311	forward	existence check (recdes=NULL)	heap_get_visible_version	heap_get_visible_version	CONSUME	heap_get_visible_version(recdes=NULL) -> heap_get_visible_version_internal: guarded by 'if (context->recdes_p != NULL)' so no record fetch, no Expand	scan_code only (S_SUCCESS vs not)	visibility/existence probe of referenced OID; no record body returned	none (recdes NULL; Expand guarded off)	yes (user instances) but body never materialized	NO_BODY	DONT	CONSUME	OVER_EXPAND	src/executables/compactdb.c:566 process_value; NULL recdes guard at heap_file.c:26464 and comment heap_file.c:26443 ('recdes_p is NULL for existence-only checks e.g. compactdb')	OID-reference validity check	F4-FIND-04	Inert/harmless: Expand never runs with recdes NULL; policy label misleading, should be DONT for clarity
F-312	forward	user-class instance heap record (old version)	heap_get_last_version	heap_init_get_context+heap_get_last_version	DONT	heap_get_last_version -> oldrec -> locator_update_index -> heap_attrinfo_read_dbvalues(old_recdes) -> oos_read	locator_update_index (attribute layer read of old_recdes)	old key value extraction to maintain indexes	variable (attr-layer resolve of old record)	yes (compactdb over user tables)	RESOLVE	DONT	DONT	CORRECT	src/executables/compactdb.c:784 update_indexes -> locator_update_index (locator_sr.c:8389) heap_attrinfo_read_dbvalues(old_recdes) at locator_sr.c:~8519	compactdb index update on OOS-backed row	-	old_recdes consumed via attribute layer, OOS-safe
F-313	forward	existence/class-oid check (recdes=NULL)	heap_get_visible_version	heap_get_visible_version	CONSUME	heap_get_visible_version(recdes=NULL) -> internal guarded (no fetch, no Expand); ref_class_oid out param used by is_class	scan_code + ref_class_oid (out params)	visibility/existence probe + class-oid classification; no body returned	none (recdes NULL; Expand guarded off)	yes but body never materialized	NO_BODY	DONT	CONSUME	OVER_EXPAND	src/storage/compactdb_sr.c:110 process_value; NULL recdes guard heap_file.c:26464	server-side compact OID-ref validity	F4-FIND-04	Inert/harmless (recdes NULL). Should be DONT for clarity
F-314	forward	user-class instance heap record (current version)	locator_lock_and_get_object	locator_lock_and_get_object	DONT	locator_lock_and_get_object -> copy_recdes -> locator_attribute_info_force(rec_descriptor) -> locator_allocate_copy_area_by_attr_info -> heap_attrinfo_transform_to_disk -> heap_attrinfo_set_uninitialized -> heap_attrvalue_read -> oos_read	heap_attrinfo_transform_to_disk / heap_attrinfo_set_uninitialized (attribute layer)	record rebuilt from resolved dbvalues; unchanged attrs resolved from old_recdes via attr layer	variable (attr-layer resolve of unchanged attrs)	yes (compactdb over user tables)	RESOLVE	DONT	DONT	CORRECT	src/storage/compactdb_sr.c:217 process_object -> locator_attribute_info_force(&copy_recdes) (locator_sr.c:7607,7674,7682) -> transform_to_disk_internal (heap_file.c:12998) heap_attrinfo_set_uninitialized (heap_file.c:13021)	compact rewrite of OOS-backed row; verify unchanged OOS attrs resolved not stub-copied	-	transform rebuilds from attr_info dbvalues; old_recdes stubs resolved via set_uninitialized (Optimization Idea A confirms attr-layer read)
F-315	forward	catalog-instance heap record (_db_stored_procedure_code)	heap_get_visible_version	heap_get_visible_version	CONSUME	heap_get_visible_version(PEEK,CONSUME) -> heap_attrinfo_read_dbvalues -> heap_attrinfo_access -> db_value_clone	heap_attrinfo_read_dbvalues (attribute layer)	single named attribute read (SP code metadata/payload) via attr layer	variable (attr-layer resolve of one attr) -- record-level Expand unneeded	yes (SP code/jar payloads are large -> OOS-capable, and SP-code fetch is a hot path)	RESOLVE	DONT	CONSUME	OVER_EXPAND	src/sp/sp_code.cpp:91 sp_get_code_attr; only consumer heap_attrinfo_read_dbvalues (sp_code.cpp:128) + heap_attrinfo_access (sp_code.cpp:134); ADR-0003 explicitly names SP-code fetch as must-NOT-always-Expand	fetch one attr from OOS-backed SP-code row; assert only accessed attr triggers oos_read (debug oos.log)	F4-FIND-01	Genuine over-expand on a hot path ADR-0003 called out; eager Expand resolves ALL OOS attrs to read one. Should be DONT
F-316	forward	user-class instance heap record (db_user)	heap_next	heap_next	DONT	heap_next(PEEK,DONT) -> recdes immediately overwritten by heap_get_visible_version at load_server_loader.cpp:246 before any use	none (only inst_oid out param used; recdes reassigned)	body unused; heap_next only supplies next inst_oid	none (recdes overwritten pre-use)	n/a (body discarded)	NO_BODY	DONT	DONT	CORRECT	src/loaddb/load_server_loader.cpp:243 server_class_installer::locate_class_for_all_users; recdes overwritten at line 246-247	loaddb user enumeration	-	heap_next here is purely an OID cursor; body re-fetched by F-317
F-317	forward	user-class instance heap record (db_user)	heap_get_visible_version	heap_get_visible_version	CONSUME	heap_get_visible_version(PEEK,CONSUME) -> heap_attrinfo_read_dbvalues -> db_get_string(name attr)	heap_attrinfo_read_dbvalues (attribute layer)	read db_user 'name' attribute via attr layer	variable (attr-layer resolve of name attr) -- Expand unneeded	yes (db_user instance) though name values are small	RESOLVE	DONT	CONSUME	OVER_EXPAND	src/loaddb/load_server_loader.cpp:247 server_class_installer::locate_class_for_all_users; only consumer heap_attrinfo_read_dbvalues (line 260) -> db_get_string (line 283)	loaddb find-class-for-all-users over db_user	F4-FIND-02	Mechanically-migrated CONSUME; attr layer resolves the one accessed attr. Should be DONT
F-318	forward	user-class instance heap record	heap_get_visible_version	heap_get_visible_version	CONSUME	heap_get_visible_version(PEEK,CONSUME) -> or_mvcc_get_header only (diagnostic lock dump prints insid/delid)	or_mvcc_get_header (MVCC header only)	MVCC header read for lock-resource diagnostic dump	header/CHN (MVCC header only)	yes (user instances; diag dump can hit OOS-backed rows)	STORED_SAFE	DONT	CONSUME	OVER_EXPAND	src/transaction/lock_manager.c:5644 lock_dump_resource; only consumer or_mvcc_get_header (lock_manager.c:5647); HAS_OOS bit does not affect MVCC header size (OOS-CONTEXT layout note)	lock dump of an OOS-backed instance; header read independent of OOS	F4-FIND-03	Diagnostic path eagerly Expands (extra oos_read I/O) just to print insid/delid. Should be DONT
